model,norm_ll,pred_time,roc_auc,source,target,train_norm_ll,train_roc_auc,train_time
Logistic Regression,0.962124628753,0.000195026397705,0.999949106825,sklearn,4,0.989962709469,1.0,0.0393459796906
Decision Tree,-0.150168565112,0.00314712524414,0.957198839636,from scratch,4,0.881732179711,0.99780521262,7.16107392311
Decision Tree,0.627724719637,0.000244855880737,0.981118631991,sklearn,4,0.904344103407,0.998166853722,0.00876402854919
Random Forest,0.759617744788,0.147310018539,0.996233905033,from scratch,4,0.803120189749,0.999195660307,55.7365689278
Random Forest,0.764134947778,0.0322349071503,0.995012468828,sklearn,4,0.798759748174,0.999314128944,0.209159135818
Logistic Regression,0.889672559888,5.60283660889e-05,0.998762376238,from scratch,5,0.912226641302,0.999350318162,6.34455800056
Logistic Regression,0.93236433473,0.000229120254517,0.999300473526,sklearn,5,0.983210168217,1.0,0.0384149551392
Decision Tree,0.418162289486,0.00292301177979,0.967767972449,from scratch,5,0.865842951659,0.998427405644,6.37685894966
Decision Tree,0.305081329683,0.000198125839233,0.959158415842,sklearn,5,0.893364378346,0.997522708505,0.00673294067383
Random Forest,0.730871212057,0.17310500145,0.999031424882,from scratch,5,0.779061919365,0.999380677126,56.3613607883
Random Forest,0.733162221461,0.112421989441,0.997901420577,sklearn,5,0.772951319295,0.999441395055,0.27263379097
Logistic Regression,0.939479364705,0.000270843505859,1.0,from scratch,6,0.923965684503,0.999466999467,8.54385614395
Logistic Regression,0.973638555723,0.000405073165894,1.0,sklearn,6,0.98168838119,1.0,0.0447988510132
Decision Tree,0.828361901087,0.00262308120728,0.99420023015,from scratch,6,0.903615768538,0.997835497835,6.40086293221
Decision Tree,0.700532165955,0.000192165374756,0.994246260069,sklearn,6,0.937970725726,0.999031499031,0.00657296180725
Random Forest,0.852552125304,0.157567977905,0.999631760644,from scratch,6,0.858434528675,0.999544999545,54.759843111
Random Forest,0.831403973089,0.0378057956696,0.999217491369,sklearn,6,0.841668342378,0.999291499291,0.219294071198
Logistic Regression,0.904475300031,5.98430633545e-05,0.999489013797,from scratch,7,0.918157058021,0.999317831646,6.48225593567
Logistic Regression,0.94402985122,0.000200986862183,0.999872253449,sklearn,7,0.981921749885,1.0,0.0355949401855
Decision Tree,0.501039390927,0.00256013870239,0.99386816556,from scratch,7,0.880746480967,0.997606529998,5.53600287437
Decision Tree,0.455920327353,0.000255107879639,0.995975983648,sklearn,7,0.921858133078,0.998659186338,0.00580096244812
Random Forest,0.764480809237,0.142771959305,0.998403168114,from scratch,7,0.81264695065,0.999464850687,47.4884932041
Random Forest,0.768935189095,0.0327529907227,0.998594787941,sklearn,7,0.817112041404,0.999605988968,0.199993848801
Logistic Regression,0.644970971739,5.91278076172e-05,0.966512290702,from scratch,8,0.715812092008,0.987220949264,6.39241194725
Logistic Regression,0.606918668876,0.000212907791138,0.973790014759,sklearn,8,0.810522007035,0.992569558101,0.0363121032715
Decision Tree,-0.227475420777,0.0028829574585,0.886253753372,from scratch,8,0.75618135133,0.990225859247,7.36895418167
Decision Tree,-0.323675265437,0.000293970108032,0.898977047178,sklearn,8,0.800944806628,0.992235679214,0.00738596916199
Random Forest,0.471763037553,0.1407558918,0.968853376762,from scratch,8,0.513270575102,0.990049099836,54.8027410507
Random Forest,0.485729352854,0.0319001674652,0.968242658659,sklearn,8,0.538168796946,0.990566284779,0.200990915298
Logistic Regression,0.729769092088,5.69820404053e-05,0.990464344942,from scratch,9,0.808413168523,0.995404663923,6.3275411129
Logistic Regression,0.845070030388,0.000292778015137,0.994092039801,sklearn,9,0.937547519407,0.999152013967,0.0390560626984
Decision Tree,-1.21944138252,0.00290703773499,0.836494610282,from scratch,9,0.803415143993,0.993565282454,7.71915984154
Decision Tree,-1.46245431194,0.000219106674194,0.855254975124,sklearn,9,0.849723801205,0.995616660431,0.008131980896
Random Forest,0.575402675907,0.146655082703,0.975072553897,from scratch,9,0.693920922375,0.99385210126,52.9445390701
Random Forest,0.564456675982,0.0317449569702,0.974761608624,sklearn,9,0.683081699332,0.993577752837,0.214380025864
